LAST SEEN   TYPE      REASON                   OBJECT                                                           MESSAGE
52m         Normal    Scheduled                pod/mambo-node-exporter-prometheus-node-exporter-h5ntx           Successfully assigned mambo-mongod-cpu/mambo-node-exporter-prometheus-node-exporter-h5ntx to i-0f4a2ec2693d23bd5
52m         Normal    SuccessfulCreate         daemonset/mambo-node-exporter-prometheus-node-exporter           Created pod: mambo-node-exporter-prometheus-node-exporter-f4sfw
52m         Normal    SuccessfulCreate         daemonset/mambo-node-exporter-prometheus-node-exporter           Created pod: mambo-node-exporter-prometheus-node-exporter-5x6vt
52m         Normal    Scheduled                pod/mambo-node-exporter-prometheus-node-exporter-5x6vt           Successfully assigned mambo-mongod-cpu/mambo-node-exporter-prometheus-node-exporter-5x6vt to i-091443c764376d8ba
52m         Normal    SuccessfulCreate         daemonset/mambo-node-exporter-prometheus-node-exporter           Created pod: mambo-node-exporter-prometheus-node-exporter-h5ntx
52m         Normal    SuccessfulCreate         daemonset/mambo-node-exporter-prometheus-node-exporter           Created pod: mambo-node-exporter-prometheus-node-exporter-c4bdf
52m         Normal    Scheduled                pod/mambo-node-exporter-prometheus-node-exporter-c4bdf           Successfully assigned mambo-mongod-cpu/mambo-node-exporter-prometheus-node-exporter-c4bdf to i-0c4d45abf9869abf0
52m         Normal    Scheduled                pod/mambo-node-exporter-prometheus-node-exporter-f4sfw           Successfully assigned mambo-mongod-cpu/mambo-node-exporter-prometheus-node-exporter-f4sfw to i-00ecc4734204a6c6e
52m         Normal    Started                  pod/mambo-node-exporter-prometheus-node-exporter-f4sfw           Started container node-exporter
52m         Normal    Started                  pod/mambo-node-exporter-prometheus-node-exporter-h5ntx           Started container node-exporter
52m         Normal    Pulled                   pod/mambo-node-exporter-prometheus-node-exporter-5x6vt           Container image "quay.io/prometheus/node-exporter:v1.12.1" already present on machine
52m         Normal    Pulled                   pod/mambo-node-exporter-prometheus-node-exporter-h5ntx           Container image "quay.io/prometheus/node-exporter:v1.12.1" already present on machine
52m         Normal    Created                  pod/mambo-node-exporter-prometheus-node-exporter-5x6vt           Created container: node-exporter
52m         Normal    Started                  pod/mambo-node-exporter-prometheus-node-exporter-5x6vt           Started container node-exporter
52m         Normal    Created                  pod/mambo-node-exporter-prometheus-node-exporter-f4sfw           Created container: node-exporter
52m         Normal    Pulled                   pod/mambo-node-exporter-prometheus-node-exporter-f4sfw           Container image "quay.io/prometheus/node-exporter:v1.12.1" already present on machine
52m         Normal    Created                  pod/mambo-node-exporter-prometheus-node-exporter-h5ntx           Created container: node-exporter
52m         Normal    Started                  pod/mambo-node-exporter-prometheus-node-exporter-c4bdf           Started container node-exporter
52m         Normal    Created                  pod/mambo-node-exporter-prometheus-node-exporter-c4bdf           Created container: node-exporter
52m         Normal    Pulled                   pod/mambo-node-exporter-prometheus-node-exporter-c4bdf           Container image "quay.io/prometheus/node-exporter:v1.12.1" already present on machine
52m         Normal    SuccessfulCreate         replicaset/my-mongodb-sharded-mongos-7cd99f4d79                  Created pod: my-mongodb-sharded-mongos-7cd99f4d79-jslhd
52m         Normal    Scheduled                pod/my-mongodb-sharded-mongos-7cd99f4d79-jslhd                   Successfully assigned mambo-mongod-cpu/my-mongodb-sharded-mongos-7cd99f4d79-jslhd to i-063b793db694be24c
