"Value","Percentile","TotalCount","1/(1-Percentile)"
0.981,0.000000000000,1,1.00
1.399,0.250000000000,112792,1.33
1.722,0.500000000000,225005,2.00
2.087,0.625000000000,281425,2.67
2.351,0.750000000000,337623,4.00
2.493,0.812500000000,365924,5.33
2.783,0.875000000000,393823,8.00
3.119,0.906250000000,407876,10.67
4.195,0.937500000000,421883,16.00
5.855,0.953125000000,428909,21.33
11.783,0.968750000000,435939,32.00
18.991,0.976562500000,439456,42.67
32.207,0.984375000000,442969,64.00
45.311,0.988281250000,444727,85.33
68.095,0.992187500000,446487,128.00
87.487,0.994140625000,447368,170.67
107.647,0.996093750000,448244,256.00
123.903,0.997070312500,448683,341.33
151.551,0.998046875000,449122,512.00
166.015,0.998535156250,449342,682.67
188.799,0.999023437500,449562,1024.00
202.239,0.999267578125,449671,1365.33
218.879,0.999511718750,449781,2048.00
236.927,0.999633789063,449836,2730.67
249.855,0.999755859375,449891,4096.00
255.615,0.999816894531,449918,5461.33
281.087,0.999877929688,449946,8192.00
299.263,0.999908447266,449959,10922.67
312.575,0.999938964844,449973,16384.00
319.743,0.999954223633,449981,21845.33
333.567,0.999969482422,449987,32768.00
336.127,0.999977111816,449990,43690.67
337.663,0.999984741211,449995,65536.00
337.663,0.999988555908,449995,87381.33
357.119,0.999992370605,449997,131072.00
359.167,0.999994277954,449998,174762.67
361.983,0.999996185303,449999,262144.00
361.983,0.999997138977,449999,349525.33
365.055,0.999998092651,450000,524288.00
365.055,1.000000000000,450000,Infinity
