"Value","Percentile","TotalCount","1/(1-Percentile)"
0.952,0.000000000000,1,1.00
1.281,0.250000000000,452692,1.33
1.417,0.500000000000,900730,2.00
1.619,0.625000000000,1125023,2.67
2.259,0.750000000000,1350464,4.00
3.513,0.812500000000,1462552,5.33
17.855,0.875000000000,1575000,8.00
43.359,0.906250000000,1631305,10.67
89.151,0.937500000000,1687504,16.00
121.087,0.953125000000,1715671,21.33
153.343,0.968750000000,1743754,32.00
173.951,0.976562500000,1757826,42.67
203.903,0.984375000000,1771920,64.00
223.615,0.988281250000,1778937,85.33
251.775,0.992187500000,1785940,128.00
273.919,0.994140625000,1789479,170.67
303.103,0.996093750000,1792988,256.00
319.743,0.997070312500,1794735,341.33
345.855,0.998046875000,1796496,512.00
359.423,0.998535156250,1797368,682.67
378.111,0.999023437500,1798246,1024.00
385.023,0.999267578125,1798682,1365.33
403.711,0.999511718750,1799124,2048.00
423.167,0.999633789063,1799342,2730.67
442.111,0.999755859375,1799561,4096.00
457.727,0.999816894531,1799671,5461.33
481.535,0.999877929688,1799781,8192.00
504.063,0.999908447266,1799837,10922.67
542.719,0.999938964844,1799891,16384.00
562.687,0.999954223633,1799918,21845.33
580.095,0.999969482422,1799948,32768.00
581.631,0.999977111816,1799962,43690.67
593.919,0.999984741211,1799973,65536.00
597.503,0.999988555908,1799980,87381.33
598.015,0.999992370605,1799989,131072.00
599.039,0.999994277954,1799992,174762.67
599.551,0.999996185303,1799997,262144.00
599.551,0.999997138977,1799997,349525.33
599.551,0.999998092651,1799997,524288.00
617.471,0.999998569489,1799998,699050.67
625.151,0.999999046326,1799999,1048576.00
625.151,0.999999284744,1799999,1398101.33
626.687,0.999999523163,1800000,2097152.00
626.687,1.000000000000,1800000,Infinity
